Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards
Abby Elinsky,ORL,4,2,197,0,0,4,1,6,0,0,0,0,0,0
Danica Evans,ORL,2,0,34,0,0,1,0,0,0,0,0,0,0,0
Caitlin Farrell,ORL,2,0,14,0,0,0,0,0,0,0,0,0,0,0
Erin Greening,ORL,5,4,376,0,0,2,0,4,0,0,0,0,0,0
Rachel Hill,ORL,8,8,634,0,0,7,2,10,8,0,0,0,1,0
Alika Keene,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikki Stanton,CHI,6,5,445,0,0,2,1,12,0,0,0,0,3,0
Hana Kerner,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Krieger,ORL,4,4,360,0,0,1,0,3,1,0,0,0,0,0
Camila,ORL,6,1,189,0,0,2,0,5,0,2,0,0,1,0
Alex Morgan,ORL,4,4,360,0,0,6,1,5,5,0,0,0,1,0
Carson Pickett,ORL,8,8,720,0,1,5,2,7,0,18,0,0,2,0
Taylor Porter,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jenna Szczesny,CHI,2,0,16,0,0,1,1,0,0,0,0,0,0,0
Morgan Reid,ORL,3,3,270,0,0,0,0,0,0,0,0,0,0,0
Chioma Ubogagu,ORL,8,7,547,0,0,4,0,7,0,0,0,0,2,0
Marta,ORL,6,6,540,0,0,14,4,6,0,1,0,0,2,0
Marisa Viggiano,ORL,4,2,165,0,0,0,0,3,0,6,0,0,0,0
Dani Weatherholt,ORL,8,8,698,0,0,1,1,14,0,1,0,0,1,0
Shelina Zadorsky,ORL,5,5,450,0,0,4,0,1,0,0,0,0,0,0
Emily van Egmond,ORL,5,5,428,0,0,6,0,5,0,9,0,0,1,0
Elizabeth Ball,POR,2,2,180,0,0,0,0,2,0,0,0,0,1,0
Celeste Boureille,POR,6,5,442,0,0,1,0,5,0,0,0,0,1,0
Maria Guadalupe Sanchez Morales,CHI,4,0,85,0,0,0,0,0,0,7,0,0,0,0
Katy Byrne,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellie Carpenter,POR,5,5,450,0,0,1,0,4,1,0,0,0,0,0
Vanessa DiBernardo,CHI,8,5,469,0,1,10,4,4,0,12,0,0,0,0
Simone Charley,POR,2,2,157,0,2,4,1,2,4,0,0,0,0,0
Arin Wright,CHI,7,7,620,0,0,7,2,4,0,0,0,0,0,0
Lindsay Agnew,HOU,2,2,134,0,0,1,1,3,1,0,0,0,1,0
Elizabeth Brandon,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan Brian,CHI,3,1,105,0,0,1,0,2,0,0,0,0,0,0
Amber Brooks,HOU,7,7,630,0,0,8,2,7,2,0,0,0,0,0
Lindsey Horan,POR,2,2,180,0,1,4,3,6,1,0,0,0,0,0
Kelli Hubly,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghan Klingenberg,POR,7,7,607,0,3,3,1,6,0,8,0,0,0,0
Tyler Lussi,POR,5,1,121,0,0,2,1,4,0,0,0,0,0,0
Emily Menges,POR,4,4,360,0,0,0,0,0,0,0,0,0,0,0
Emily Ogle,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Pogarch,POR,1,0,16,0,0,0,0,0,0,0,0,0,0,0
Ariana Catrina Calderón Valdez,HOU,1,0,16,0,0,0,0,1,0,0,0,0,0,0
Hayley Raso,POR,1,0,45,0,0,1,1,1,0,0,0,0,0,0
Katherine Reynolds,POR,7,7,630,0,0,0,0,1,0,0,0,0,0,0
Angela Salem,POR,3,2,153,0,0,0,0,2,0,0,0,0,0,0
Gabby Seiler,POR,6,4,358,0,0,1,0,3,0,0,0,0,0,0
Allysha Chapman,HOU,4,4,360,0,0,0,0,4,0,0,0,0,0,0
Morgan Andrews,SEA,5,4,361,0,0,3,1,8,0,3,0,0,0,0
Taylor Comeau,HOU,1,1,90,0,0,0,0,1,0,0,0,0,0,0
Lauren Barnes,SEA,7,7,630,0,0,0,0,2,0,17,0,0,1,0
Steph Catley,SEA,1,1,45,0,0,1,0,0,0,0,0,0,0,0
Stephanie Cox,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiersten Dallstream,SEA,1,0,12,0,0,0,0,0,0,0,0,0,0,0
Jessica Fishlock,SEA,2,2,180,0,0,5,4,1,2,3,0,0,0,0
Jamia Fields,HOU,3,0,41,0,0,0,0,0,0,0,0,0,0,0
Celia Jiménez Delgado,SEA,4,4,352,0,0,2,0,4,1,0,0,0,0,0
Jaycie Johnson,SEA,1,0,21,0,0,0,0,0,1,0,0,0,0,0
Elise Kellond-Knight,SEA,3,0,103,0,0,1,1,1,0,5,0,0,0,0
Maegan Kelly,SEA,3,0,15,0,0,0,0,0,1,0,0,0,0,0
Allie Long,SEA,3,3,270,0,1,3,2,3,2,0,0,0,0,0
Kristen McNabb,SEA,7,6,539,0,1,2,1,3,1,0,0,0,2,0
Theresa Nielsen,SEA,7,5,479,0,0,4,1,2,0,10,0,0,1,0
Ifeoma Onumonu,SEA,3,0,75,0,0,1,1,2,2,0,0,0,1,0
Megan Oyster,SEA,7,7,559,0,0,0,0,4,0,0,0,0,0,0
Morgan Proffitt,SEA,1,0,51,0,0,0,0,1,0,0,0,0,0,0
Jasmyne Spencer,SEA,1,1,26,0,0,0,0,0,0,0,0,0,0,0
Addison Steiner,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haley Hanson,HOU,7,4,421,0,0,1,0,4,1,0,0,0,1,0
Rumi Utsugi,SEA,3,3,251,0,0,5,2,4,0,0,0,0,0,0
Christen Westphal,SEA,2,1,135,0,0,1,0,0,0,0,0,0,0,0
Beverly Yanez,SEA,5,5,428,0,0,8,1,10,0,0,0,0,0,0
Caprice Dydasco,NJ,6,6,540,0,0,0,0,5,0,0,0,0,0,0
Sabrina Flores,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jennifer Hoy,NJ,5,2,178,0,0,0,0,1,0,0,0,0,0,0
Julie James,NJ,5,5,402,0,0,5,0,7,0,0,0,0,1,0
Estelle Johnson,NJ,4,4,360,0,0,0,0,3,0,0,0,0,0,0
Nahomi Kawasumi,NJ,7,7,587,0,0,3,1,1,1,0,0,0,0,0
Sarah Killion,NJ,7,7,630,0,1,3,0,1,2,11,0,0,0,0
Gina Lewandowski,NJ,1,1,90,0,0,2,1,2,0,0,0,0,0,0
Julie Ertz,CHI,3,3,270,0,1,4,0,2,0,1,0,0,1,0
Savannah McCaskill,NJ,5,3,308,0,1,5,3,7,3,4,0,0,1,0
McKenzie Meehan,NJ,3,0,14,0,0,0,0,1,0,0,0,0,0,0
Paige Monaghan,NJ,7,5,499,0,0,3,1,7,2,0,0,0,1,0
Francisca Gabriela Morais da Rocha,NJ,2,0,26,0,0,1,0,0,0,0,0,0,0,0
Amandine Pierre-Louis,NJ,3,1,73,0,1,1,0,2,0,0,0,0,0,0
Dominique Richardson,NJ,5,5,449,0,0,2,0,2,0,8,0,0,0,0
