Rank,Full Team,Team,Points,Overall Wins,Overall Losses,Overall Ties,Home Wins,Home Losses,Home Ties,Away Wins,Away Losses,Away Ties,Goals For,Goals Against,Goal Difference,Season
1,Portland Thorns FC,POR,41,16,2,2,8,1,1,8,1,1,35,19,16,2016
2,Washington Spirit,WAS,39,14,2,4,7,1,2,7,1,2,30,21,9,2016
3,Chicago Red Stars,CHI,33,10,2,8,5,1,4,5,1,4,24,20,4,2016
4,Western New York Flash,WNY,32,12,6,2,6,3,1,6,3,1,40,26,14,2016
5,Seattle Reign FC,SEA,30,12,4,4,6,2,2,6,2,2,29,21,8,2016
6,FC Kansas City,KC,26,4,8,8,2,4,4,2,4,4,18,20,-2,2016
7,Sky Blue FC,NJ,26,6,8,6,3,4,3,3,4,3,24,30,-6,2016
8,Houston Dash,HOU,22,8,8,4,4,4,2,4,4,2,29,29,0,2016
9,Orlando Pride,ORL,19,10,10,0,5,5,0,5,5,0,20,30,-10,2016
10,Boston Breakers,BOS,11,4,12,4,2,6,2,2,6,2,14,47,-33,2016
