Player,Position
Julie Ertz,Midfielder
Sarah Gorden,Defender
Stephanie McCaffrey,Attacker
Alyssa Naeher,Goalkeeper
Casey Short,Defender
Rachel Daly,Attacker
Kealia Ohai,Attacker
Abby Dahlkemper,Defender
Debinha,Midfielder
Crystal Dunn,Defender
Elizabeth Eddy,Midfielder
Abby Erceg,Defender
Adelaide Gay,Goalkeeper
Kristen Hamilton,Attacker
Allyson Paige Haran,Defender
Hailey Harbison,Defender
Jaelene Hinkle,Defender
Shannon Horgan,Midfielder
Darian Jenkins,Attacker
Julie King,Defender
Kaleigh Kurtz,Defender
Stephanie Labbe,Goalkeeper
Samantha Leshnak,Goalkeeper
Merritt Mathias,Defender
Jessica McDonald,Attacker
Samantha Mewis,Midfielder
Lauren Milliet,Midfielder
Heather O'Reilly,Midfielder
Denise O'Sullivan,Midfielder
Leah Pruitt,Attacker
Morgan Reid,Defender
Cari Roccaro,Midfielder
Katelyn Rowland,Goalkeeper
Meredith Speck,Midfielder
Julia Spetsmark,Midfielder
Ryan Williams,Midfielder
Lynn Williams,Attacker
McCall Zerboni,Midfielder
Kristen Edmonds,Midfielder
Ashlyn Harris,Goalkeeper
Adrianna Franch,Goalkeeper
Tobin Heath,Attacker
Lindsey Horan,Midfielder
Meghan Klingenberg,Defender
Emily Menges,Defender
Meg Morris,Attacker
Katherine Reynolds,Defender
Christine Sinclair,Attacker
Mallory Weber,Attacker
Morgan Andrews,Midfielder
Yael Averbuch,Midfielder
Bethany Balcer,Midfielder
Lauren Barnes,Defender
Jorian Baucom,Attacker
Michelle Betos,Goalkeeper
Steph Catley,Defender
Stephanie Cox,Defender
Kiersten Dallstream,Attacker
Jessica Fishlock,Midfielder
Jessica Fishlock,Midfielder
Shea Groom,Attacker
Darian Jenkins,Attacker
Celia Jiménez Delgado,Defender
Jaycie Johnson,Attacker
Nahomi Kawasumi,Attacker
Elise Kellond-Knight,Midfielder
Maegan Kelly,Attacker
Emma Kete,Attacker
Alyssa Kleiner,Defender
Allie Long,Midfielder
Kristen McNabb,Defender
Casey Murphy,Goalkeeper
Theresa Nielsen,Defender
Ifeoma Onumonu,Attacker
Megan Oyster,Defender
Morgan Proffitt,Midfielder
Megan Rapinoe,Attacker
Taylor Smith,Defender
Jasmyne Spencer,Attacker
Addison Steiner,Attacker
Jodie Taylor,Attacker
Rumi Utsugi,Midfielder
Scout Watson,Goalkeeper
Christen Westphal,Defender
Lydia Williams,Goalkeeper
Beverly Yanez,Midfielder
Caroline Casey,Goalkeeper
Sarah Killion,Midfielder
Dominique Richardson,Defender
Erica Skroski,Defender
Nicole Barnhart,Goalkeeper
Veronica Boquete Giadans,Midfielder
Katie Bowen,Midfielder
Rachel Corsie,Defender
Meghan Cox,Midfielder
Makenzy Doniak,Midfielder
Madeline Elliston,Defender
Samantha Johnson,Defender
Gunnhildur Yrsa Jónsdóttir,Midfielder
Alexandra Kimball,Attacker
Lo’eau LaBonta,Midfielder
Mandy Laddish,Midfielder
Taylor Lytle,Midfielder
Michelle Maemone,Defender
Diana Matheson,Midfielder
Sydney Miramontez,Defender
Rebecca Moros,Midfielder
Alexa Newfield,Midfielder
Kelley O'Hara,Defender
Christen Press,Attacker
Brittany Ratcliffe,Attacker
Amy Rodriguez,Attacker
Becky Sauerbrunn,Defender
Desiree Scott,Midfielder
Abby Smith,Goalkeeper
Katie Stengel,Attacker
Raisa Strom-Okimoto,Attacker
Erika Tymrak,Midfielder
Gaby Vincent,Defender
Mallory Weber,Attacker
Whitney Church,Defender
Caprice Dydasco,Defender
Cali Farquharson,Attacker
DiDi Haracic,Goalkeeper
Estelle Johnson,Defender
Joanna Lohman,Midfielder
