Player,Position
Emily Boyd,Goalkeeper
Morgan Brian,Midfielder
Danielle Colaprico,Midfielder
Tierna Davidson,Defender
Hannah Davison,Defender
Vanessa DiBernardo,Midfielder
Brooke Elby,Defender
Julie Ertz,Midfielder
Zoey Goralski,Defender
Sarah Gorden,Defender
Summer Green,Midfielder
Megan Hinz,Goalkeeper
Alison Jahansouz,Goalkeeper
Katlyn Johnson,Attacker
Sam Kerr,Attacker
Alyssa Mautz,Midfielder
Stephanie McCaffrey,Attacker
Christina Murillo Ruiz,Defender
Alyssa Naeher,Goalkeeper
Yuki Nagasato,Attacker
Kathleen Naughton,Defender
Maria Guadalupe Sanchez Morales,Midfielder
Kayla Sharples,Defender
Casey Short,Defender
Nikki Stanton,Midfielder
Jenna Szczesny,Attacker
Michele Vasconcelos,Midfielder
Rosie White,Midfielder
Arin Wright,Defender
Lindsay Agnew,Defender
Elizabeth Brandon,Midfielder
Amber Brooks,Defender
Ariana Catrina Calderón Valdez,Attacker
Jane Campbell,Goalkeeper
Allysha Chapman,Defender
Taylor Comeau,Defender
Rachel Daly,Attacker
Jamia Fields,Attacker
Haley Hanson,Midfielder
Bianca Henninger,Goalkeeper
Sofia Huerta,Midfielder
Jazmin Jackmon,Defender
Savannah Jordan,Attacker
Kimberly Keever,Defender
Devon Kerr,Goalkeeper
Thembi Kgatlana,Attacker
Cecelia Kizer,Attacker
Veronica Latsko,Attacker
Kayla McCoy,Attacker
Kristie Mewis,Defender
Linda Motlhalo,Midfielder
Satara Murray,Defender
Christine Nairn,Midfielder
Kealia Ohai,Attacker
Clare Polkinghorne,Defender
Nichelle Prince,Attacker
Ally Prisock,Defender
Sammy Jo Prudhomme,Goalkeeper
Arianna Jeanette Romero Tellez,Defender
Sophie Schmidt,Midfielder
Meleana Shim,Midfielder
Kyah Simon,Attacker
Riley Smith,Defender
Abby Dahlkemper,Defender
Debinha,Midfielder
Crystal Dunn,Defender
Elizabeth Eddy,Midfielder
Abby Erceg,Defender
Adelaide Gay,Goalkeeper
Kristen Hamilton,Attacker
Allyson Paige Haran,Defender
Hailey Harbison,Defender
Jaelene Hinkle,Defender
Shannon Horgan,Midfielder
Darian Jenkins,Attacker
Julie King,Defender
Kaleigh Kurtz,Defender
Stephanie Labbe,Goalkeeper
Samantha Leshnak,Goalkeeper
Merritt Mathias,Defender
Jessica McDonald,Attacker
Samantha Mewis,Midfielder
Lauren Milliet,Midfielder
Heather O'Reilly,Midfielder
Denise O'Sullivan,Midfielder
Leah Pruitt,Attacker
Morgan Reid,Defender
Cari Roccaro,Midfielder
Katelyn Rowland,Goalkeeper
Meredith Speck,Midfielder
Julia Spetsmark,Midfielder
Ryan Williams,Midfielder
Lynn Williams,Attacker
McCall Zerboni,Midfielder
Joanna Boyles,Midfielder
Lainey Burdett,Goalkeeper
Bridget Callahan,Midfielder
Camila,Defender
Kristen Edmonds,Midfielder
Abby Elinsky,Midfielder
Danica Evans,Attacker
Caitlin Farrell,Defender
Erin Greening,Midfielder
Ashlyn Harris,Goalkeeper
Rachel Hill,Attacker
Alika Keene,Midfielder
Alanna Kennedy,Defender
Hana Kerner,Defender
Haley Kopmeyer,Goalkeeper
Ali Krieger,Defender
Sydney Leroux,Attacker
Marta,Attacker
Monica,Defender
Alex Morgan,Attacker
Carson Pickett,Defender
Poliana,Defender
Taylor Porter,Midfielder
Toni Pressley,Defender
Morgan Reid,Defender
Chioma Ubogagu,Attacker
Emily van Egmond,Midfielder
Marisa Viggiano,Midfielder
Dani Weatherholt,Midfielder
Shelina Zadorsky,Defender
Andressinha,Midfielder
Elizabeth Ball,Defender
Bella Bixby,Goalkeeper
Celeste Boureille,Midfielder
Dagný Brynjarsdóttir,Midfielder
Katy Byrne,Midfielder
Ellie Carpenter,Defender
Simone Charley,Attacker
Ana-Maria Crnogorcevic,Attacker
Britt Eckerstrom,Goalkeeper
Bobbi Eckler,Midfielder
Marissa Everett,Attacker
Caitlin Foord,Attacker
Adrianna Franch,Goalkeeper
Tobin Heath,Attacker
Arden Holden,Midfielder
Lindsey Horan,Midfielder
Kelli Hubly,Defender
Meghan Klingenberg,Defender
Tyler Lussi,Attacker
Emily Menges,Defender
Olivia Moultrie,Midfielder
Emily Ogle,Midfielder
Madison Pogarch,Defender
Margaret Purce,Midfielder
Hayley Raso,Attacker
Katherine Reynolds,Defender
Angela Salem,Midfielder
Gabby Seiler,Defender
Christine Sinclair,Attacker
Emily Sonnett,Defender
Sandra Yu,Midfielder
Morgan Andrews,Midfielder
Yael Averbuch,Midfielder
Bethany Balcer,Midfielder
Lauren Barnes,Defender
Jorian Baucom,Attacker
Michelle Betos,Goalkeeper
Steph Catley,Defender
Stephanie Cox,Defender
Kiersten Dallstream,Attacker
Jessica Fishlock,Midfielder
Jessica Fishlock,Midfielder
Shea Groom,Attacker
Darian Jenkins,Attacker
Celia Jiménez Delgado,Defender
Jaycie Johnson,Attacker
Nahomi Kawasumi,Attacker
Elise Kellond-Knight,Midfielder
Maegan Kelly,Attacker
Emma Kete,Attacker
Alyssa Kleiner,Defender
Allie Long,Midfielder
Kristen McNabb,Defender
Casey Murphy,Goalkeeper
Theresa Nielsen,Defender
Ifeoma Onumonu,Attacker
Megan Oyster,Defender
Morgan Proffitt,Midfielder
Megan Rapinoe,Attacker
Taylor Smith,Defender
Jasmyne Spencer,Attacker
Addison Steiner,Attacker
Jodie Taylor,Attacker
Rumi Utsugi,Midfielder
Scout Watson,Goalkeeper
Christen Westphal,Defender
Lydia Williams,Goalkeeper
Beverly Yanez,Midfielder
Kyra Carusa,Attacker
Caroline Casey,Goalkeeper
Imani Dorsey,Attacker
Caprice Dydasco,Defender
Sabrina Flores,Defender
Mandy Freeman,Defender
Amanda Frisbie,Defender
Christina Gibbons,Defender
Shea Groom,Attacker
DiDi Haracic,Goalkeeper
Jennifer Hoy,Attacker
Julie James,Midfielder
Estelle Johnson,Defender
Katlyn Johnson,Attacker
Nahomi Kawasumi,Attacker
Sarah Killion,Midfielder
Gina Lewandowski,Defender
Carli Lloyd,Attacker
Kaylan Marckese,Goalkeeper
Savannah McCaskill,Attacker
McKenzie Meehan,Attacker
Paige Monaghan,Attacker
