Player,Position
Vanessa DiBernardo,Midfielder
Julie Ertz,Midfielder
Sarah Gorden,Defender
Summer Green,Midfielder
Stephanie McCaffrey,Attacker
Alyssa Naeher,Goalkeeper
Casey Short,Defender
Jane Campbell,Goalkeeper
Rachel Daly,Attacker
Bianca Henninger,Goalkeeper
Kristie Mewis,Defender
Kealia Ohai,Attacker
Nichelle Prince,Attacker
Janine van Wyk,Defender
Abby Dahlkemper,Defender
Debinha,Midfielder
Sabrina D’Angelo,Goalkeeper
Elizabeth Eddy,Midfielder
Abby Erceg,Defender
Kristen Hamilton,Attacker
Jaelene Hinkle,Defender
Darian Jenkins,Attacker
Yuri Kawamura,Defender
Jessica McDonald,Attacker
Samantha Mewis,Midfielder
Denise O'Sullivan,Midfielder
Katelyn Rowland,Goalkeeper
Meredith Speck,Midfielder
Lynn Williams,Attacker
McCall Zerboni,Midfielder
Camila,Defender
Kristen Edmonds,Midfielder
Danica Evans,Attacker
Ashlyn Harris,Goalkeeper
Ali Krieger,Defender
Marta,Attacker
Alex Morgan,Attacker
Adrianna Franch,Goalkeeper
Tobin Heath,Attacker
Lindsey Horan,Midfielder
Kelli Hubly,Defender
Meghan Klingenberg,Defender
Tyler Lussi,Attacker
Emily Menges,Defender
Meg Morris,Attacker
Katherine Reynolds,Defender
Christine Sinclair,Attacker
Mallory Weber,Attacker
Morgan Andrews,Midfielder
Yael Averbuch,Midfielder
Bethany Balcer,Midfielder
Lauren Barnes,Defender
Jorian Baucom,Attacker
Michelle Betos,Goalkeeper
Steph Catley,Defender
Stephanie Cox,Defender
Kiersten Dallstream,Attacker
Jessica Fishlock,Midfielder
Jessica Fishlock,Midfielder
Shea Groom,Attacker
Darian Jenkins,Attacker
Celia Jiménez Delgado,Defender
Jaycie Johnson,Attacker
Nahomi Kawasumi,Attacker
Elise Kellond-Knight,Midfielder
Maegan Kelly,Attacker
Emma Kete,Attacker
Alyssa Kleiner,Defender
Allie Long,Midfielder
Kristen McNabb,Defender
Casey Murphy,Goalkeeper
Theresa Nielsen,Defender
Ifeoma Onumonu,Attacker
Megan Oyster,Defender
Morgan Proffitt,Midfielder
Megan Rapinoe,Attacker
Taylor Smith,Defender
Jasmyne Spencer,Attacker
Addison Steiner,Attacker
Jodie Taylor,Attacker
Rumi Utsugi,Midfielder
Scout Watson,Goalkeeper
Christen Westphal,Defender
Lydia Williams,Goalkeeper
Beverly Yanez,Midfielder
Caroline Casey,Goalkeeper
Mandy Freeman,Defender
Sarah Killion,Midfielder
McKenzie Meehan,Attacker
Dominique Richardson,Defender
Kailen Sheridan,Goalkeeper
Erica Skroski,Defender
Madison Tiernan,Midfielder
Nicole Barnhart,Goalkeeper
Veronica Boquete Giadans,Midfielder
Katie Bowen,Midfielder
Rachel Corsie,Defender
Meghan Cox,Midfielder
Makenzy Doniak,Midfielder
Madeline Elliston,Defender
Samantha Johnson,Defender
Gunnhildur Yrsa Jónsdóttir,Midfielder
Alexandra Kimball,Attacker
Lo’eau LaBonta,Midfielder
Mandy Laddish,Midfielder
Taylor Lytle,Midfielder
Michelle Maemone,Defender
Diana Matheson,Midfielder
Sydney Miramontez,Defender
Rebecca Moros,Midfielder
Alexa Newfield,Midfielder
Kelley O'Hara,Defender
Christen Press,Attacker
Brittany Ratcliffe,Attacker
Amy Rodriguez,Attacker
Becky Sauerbrunn,Defender
Desiree Scott,Midfielder
Abby Smith,Goalkeeper
Katie Stengel,Attacker
Raisa Strom-Okimoto,Attacker
Erika Tymrak,Midfielder
Gaby Vincent,Defender
Mallory Weber,Attacker
Whitney Church,Defender
Meggie Dougherty Howard,Midfielder
Caprice Dydasco,Defender
Cali Farquharson,Attacker
DiDi Haracic,Goalkeeper
Estelle Johnson,Defender
Joanna Lohman,Midfielder
Mallory Pugh,Attacker
Arielle Ship,Attacker
Havana Solaun,Midfielder
Kelsey Wys,Goalkeeper
