Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Position
Celeste Boureille,POR,6,5,466,0,0,3,0,4,0,0,0,0,0,0,
Eunice Beckmann,BOS,11,8,658,0,1,16,6,18,2,1,0,0,3,0,
Maureen Fitzgerald,POR,3,2,134,0,0,0,0,2,0,0,0,0,0,0,
Courtney Raetzman,CHI,6,0,52,0,0,0,0,1,0,0,0,0,0,0,
Amandine Henry,POR,9,8,638,0,1,8,2,16,0,0,0,0,0,0,
Rebekah Roller,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kendall Johnson,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Meghan Klingenberg,POR,14,14,1259,0,0,4,2,8,3,1,0,0,1,0,Defender
Samantha Lofton,POR,3,0,54,0,0,1,1,0,0,0,0,0,0,0,
Morgan Marlborough,BOS,1,0,23,0,0,2,1,0,2,0,0,0,0,0,
Emily Menges,POR,20,20,1800,0,0,1,0,4,0,0,0,0,0,0,Defender
Shade Pratt,POR,5,1,140,0,0,1,1,4,0,0,0,0,0,0,
Hayley Raso,POR,20,6,751,0,2,9,3,18,8,0,0,0,3,0,
Katherine Reynolds,POR,20,18,1671,0,0,1,1,10,0,0,0,0,1,0,Defender
Meleana Shim,POR,14,9,812,0,1,4,2,10,1,5,0,0,1,0,
Mónica Rose Alvarado Rodriguez,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jennifer Skogerboe,POR,3,2,210,0,0,0,0,2,0,0,0,0,0,0,
Emily Sonnett,POR,15,15,1350,0,0,3,2,7,1,0,0,0,2,0,
Mallory Weber,POR,13,7,699,0,0,4,2,8,1,0,0,0,1,0,Attacker
Mallory Weber,POR,13,7,699,0,0,4,2,8,1,0,0,0,1,0,Attacker
Kylie Strom,BOS,7,3,343,0,0,0,0,7,0,0,0,0,0,0,
Morgan Brian,HOU,13,13,1005,0,0,7,4,5,3,16,0,0,0,0,
Michelle Cruz,SEA,4,0,46,0,0,1,0,0,0,0,0,0,0,0,
Kiersten Dallstream,SEA,12,2,274,0,0,2,1,5,0,0,0,0,1,0,Attacker
Lindsay Elston,SEA,12,0,157,0,0,2,1,3,2,0,0,0,1,0,
Bianca Brinson,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stephanie Verdoia,BOS,10,5,452,0,0,6,2,5,1,1,0,0,0,0,
Ellie Brush,HOU,15,15,1336,0,0,2,0,11,0,1,0,0,4,0,
Kassey Kallman,BOS,20,20,1800,0,0,0,0,9,0,0,0,0,0,0,
Allysha Chapman,HOU,9,8,711,0,0,2,1,6,0,0,0,0,1,0,
Paige Nielsen,SEA,2,0,26,0,0,1,0,0,1,0,0,0,0,0,
Carson Pickett,SEA,15,8,841,0,1,5,2,3,0,0,0,0,0,1,
Megan Crosson,HOU,4,1,115,0,0,0,0,1,0,8,0,0,1,0,
Elli Reed,SEA,16,14,1284,0,0,1,0,8,1,0,0,0,2,0,
Rachel Wood,BOS,7,2,260,0,0,4,0,5,1,0,0,0,0,0,
Tessa Florio-Gavilsky,HOU,3,0,54,0,0,1,0,2,1,1,0,0,0,0,
Anna María Gilbertson Rojas,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Caity Heap,HOU,6,2,127,0,0,1,0,3,0,0,0,0,2,0,
Melissa Henderson,HOU,7,4,321,0,1,1,0,4,3,8,0,0,0,0,
Kim DeCesare,NJ,6,3,244,0,0,2,1,3,0,0,0,0,0,0,
Theresa Diederich,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Courtney Kathryn 'Coco' Goodson,NJ,1,0,8,0,0,0,0,0,0,0,0,0,0,0,
Shawna Gordon,NJ,11,5,444,0,0,4,1,2,1,2,0,0,0,0,
Kristin Grubka,NJ,15,14,1267,0,1,3,1,16,2,1,0,0,2,0,
Danielle Colaprico,CHI,20,20,1784,0,2,6,5,19,0,31,0,0,0,0,
Rebecca Moros,HOU,17,17,1521,0,2,6,2,17,0,0,0,0,0,0,Midfielder
Ghoutia Karchouni,BOS,3,1,100,0,0,1,0,1,0,1,0,0,0,0,
Stephanie Ochs,HOU,12,3,381,0,2,5,3,4,2,4,0,0,0,0,
Amanda DaCosta,CHI,13,8,664,0,0,9,2,9,1,1,0,0,0,0,
Ashley Nick,NJ,3,1,103,0,0,0,0,1,0,0,0,0,0,0,
Cami Privett,HOU,15,11,1056,0,0,3,1,9,1,0,0,0,1,0,
Christie Pearce,NJ,20,20,1800,0,0,2,0,5,1,0,0,0,1,0,
Dominique Richardson,NJ,2,0,54,0,0,2,1,2,0,0,0,0,0,0,Defender
Cari Roccaro,HOU,15,14,1267,0,0,1,0,6,0,1,0,0,2,0,Midfielder
Danielle Schulmann,NJ,3,0,42,0,0,1,1,1,0,0,0,0,0,0,
Erin Simon,NJ,19,18,1590,0,2,0,0,16,3,0,0,0,1,0,
Nikki Stanton,NJ,12,4,407,0,0,3,1,9,0,1,0,0,3,0,
Chestley Strother,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Whitney Church,WAS,11,7,612,0,0,0,0,4,0,0,0,0,0,0,Defender
Caprice Dydasco,WAS,12,12,1080,0,2,6,2,9,1,0,0,0,1,0,Defender
Cali Farquharson,WAS,16,8,559,0,0,6,4,7,2,0,0,0,0,0,Attacker
Caroline Van Slambrouck,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Estelle Johnson,WAS,11,11,990,0,0,4,2,4,0,0,0,0,0,0,Defender
Alex Arlitt,KC,11,8,712,0,0,2,0,7,0,0,0,0,1,0,
Vanessa DiBernardo,CHI,20,20,1785,0,6,25,10,17,0,67,0,0,0,0,
Katie Bowen,KC,13,11,959,0,1,3,3,11,0,0,0,0,0,0,Midfielder
Alli Murphy,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jen Buczkowski,KC,5,5,426,0,0,2,1,9,0,0,0,0,0,0,
Amanda Frisbie,KC,3,3,270,0,0,2,0,1,0,2,0,0,0,0,
Megan Oyster,WAS,15,15,1341,0,0,1,0,11,0,0,0,0,2,0,Defender
Haley Rosen,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Line Sigvardsen Jensen,WAS,3,2,141,0,0,0,0,0,0,0,0,0,0,0,
Janelle Kalyn Flaws,CHI,1,0,45,0,0,0,0,1,2,0,0,0,0,0,
Shelina Zadorsky,WAS,11,10,911,0,0,1,0,11,0,0,0,0,2,0,
Lady Patricia Andrade Rodríguez,WNY,2,0,52,0,0,0,0,2,0,0,0,0,0,0,
Halimatu Ibrahim Ayinde,WNY,1,1,45,0,0,1,0,1,0,0,0,0,0,0,
Janice Cayman,WNY,3,1,96,0,0,2,1,1,0,1,0,0,1,0,
Caroline Kastor,KC,15,3,296,0,2,4,1,5,1,0,0,0,0,0,
Lo’eau LaBonta,KC,11,7,693,0,0,9,3,8,1,0,0,0,1,0,Midfielder
Elizabeth Eddy,WNY,20,20,1753,0,2,5,2,31,1,9,0,0,3,0,Midfielder
Mandy Laddish,KC,19,19,1679,0,0,17,10,24,4,0,0,0,0,0,Midfielder
Arin Wright,CHI,20,20,1718,0,4,10,4,13,1,1,0,0,2,0,
Kristen Hamilton,WNY,12,0,126,0,0,1,1,6,0,0,0,0,1,0,Attacker
Molly Menchel,KC,3,2,185,0,0,0,0,3,0,2,0,0,1,0,
Ga-Eul Jeon,WNY,2,1,86,0,0,0,0,2,0,1,0,0,0,0,
Alanna Kennedy,WNY,15,15,1298,0,0,13,4,17,0,2,0,0,3,0,
Adriana Leon,WNY,10,3,345,0,0,4,1,8,2,0,0,0,1,0,
Laura Liedle,WNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alexa Newfield,KC,8,2,236,0,0,3,1,5,0,1,0,0,0,0,Midfielder
Sarah Gorden,CHI,4,0,110,0,0,0,0,2,0,0,0,0,0,0,Defender
Courtney Niemiec,WNY,6,4,395,0,0,0,0,0,0,0,0,0,0,0,
Brianne Reed,KC,7,5,441,0,0,0,0,3,0,0,0,0,1,0,
Meredith Speck,WNY,6,5,369,0,1,2,1,4,2,2,0,0,1,0,Midfielder
Brittany Ratcliffe,BOS,15,5,546,0,0,7,1,7,1,0,0,0,3,0,Attacker
McCall Zerboni,WNY,20,19,1681,0,1,13,5,37,0,2,0,0,4,0,Midfielder
