Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season,Position
Alexa Newfield,KC,17,8,661,2,2,14,7,16,1,29,0,0,2,1,2017,Midfielder
Andressinha,HOU,21,17,1554,2,3,25,14,18,0,34,0,0,1,0,2017,
Sarah Hagen,HOU,18,7,677,2,0,21,9,3,4,0,0,0,0,0,2017,
Toni Pressley,ORL,18,13,1218,1,0,12,6,13,0,0,0,0,1,0,2017,
Larissa Crummer,SEA,4,0,49,1,0,2,2,2,0,0,0,0,0,0,2017,
Abby Erceg,NC,22,22,1947,1,2,15,4,10,0,0,0,0,1,1,2017,Defender
Mallory Weber,POR,17,5,564,1,0,3,3,7,1,0,0,0,1,0,2017,Attacker
Mallory Weber,POR,17,5,564,1,0,3,3,7,1,0,0,0,1,0,2017,Attacker
Ashleigh Sykes,POR,15,12,994,1,1,9,4,13,1,0,0,0,1,0,2017,
Amber Brooks,HOU,24,24,2160,1,2,16,1,28,1,1,1,1,3,0,2017,
Tyler Lussi,POR,5,3,291,1,2,12,4,9,2,0,0,0,0,0,2017,Attacker
Kristen McNabb,SEA,18,14,1307,1,0,8,4,10,0,0,0,0,3,0,2017,Defender
Christine Nairn,SEA,23,21,1646,1,4,15,6,3,2,23,0,0,1,0,2017,
Yael Averbuch,KC,23,23,2045,1,1,12,1,6,1,20,0,0,0,0,2017,Midfielder
Rumi Utsugi,SEA,20,18,1663,1,2,13,5,15,1,0,0,0,0,0,2017,Midfielder
Casey Short,CHI,22,21,1914,1,1,11,3,19,4,0,0,0,2,0,2017,Defender
Daphne Corboz,NJ,19,12,1161,1,5,16,7,10,2,25,0,0,0,0,2017,
Dani Weatherholt,ORL,19,17,1486,1,1,4,3,18,0,0,0,0,1,0,2017,
Yuki Nagasato,CHI,6,3,311,1,2,3,1,6,4,1,0,0,0,1,2017,
Christina Gibbons,KC,24,23,2083,1,3,7,2,28,0,1,0,0,2,0,2017,
Kiersten Dallstream,SEA,14,3,350,1,2,4,2,3,4,0,0,0,0,0,2017,Attacker
Amanda DaCosta,BOS,11,4,382,1,0,2,1,1,0,0,1,1,0,0,2017,
Danielle Colaprico,CHI,23,21,1903,1,1,8,3,27,0,35,0,0,3,0,2017,
Erica Skroski,NJ,21,20,1762,1,0,3,2,20,1,2,0,0,3,0,2017,Defender
Danica Evans,ORL,11,1,195,1,0,5,4,2,0,0,0,0,0,0,2017,Attacker
Estefanía Banini,WAS,9,6,546,1,0,11,8,6,0,6,0,0,0,0,2017,
Whitney Church,WAS,22,22,1980,1,1,4,2,3,0,2,0,0,1,0,2017,Defender
Meggie Dougherty Howard,WAS,23,21,1911,1,1,14,5,25,1,6,0,0,2,0,2017,Midfielder
Brittany Ratcliffe,KC,22,12,1106,1,2,16,7,16,5,1,0,0,1,0,2017,Attacker
Amy Rodriguez,KC,1,1,57,1,0,3,3,0,0,0,0,0,0,0,2017,Attacker
Margaret Purce,BOS,22,13,1387,1,2,12,5,15,7,1,0,0,1,0,2017,
Becky Sauerbrunn,KC,22,22,1980,1,2,7,2,7,0,0,0,0,2,0,2017,Defender
Arielle Ship,WAS,14,9,688,1,2,14,4,8,2,0,0,0,1,0,2017,Attacker
Line Sigvardsen Jensen,WAS,9,6,568,1,1,3,2,10,0,0,0,0,0,0,2017,
Julie King,BOS,21,21,1890,1,0,13,4,26,1,0,0,0,3,0,2017,
Lindsay Elston,SEA,15,11,945,1,1,14,8,18,7,0,0,0,1,0,2017,
Taylor Smith,NC,24,18,1750,0,2,7,3,26,0,0,0,0,2,0,2017,Defender
Meredith Speck,NC,4,2,197,0,0,0,0,1,0,0,0,0,0,0,2017,Midfielder
Sam Witteman,NC,12,5,421,0,0,1,1,10,0,0,0,0,2,0,2017,
Bruna Benites,HOU,14,8,841,0,0,1,1,16,0,0,0,0,6,0,2017,
Rosana dos Santos Augusto,NC,4,1,68,0,0,1,1,5,1,0,0,0,0,0,2017,
Laura Alleway,ORL,2,1,136,0,0,0,0,3,0,0,0,0,2,0,2017,
Jocelyn Blankenship,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,
Christina Burkenroad,ORL,1,0,8,0,0,1,1,0,0,0,0,0,0,0,2017,
Steph Catley,ORL,23,23,2030,0,2,6,3,12,2,2,0,0,1,0,2017,Defender
Nickolette Driesse,ORL,4,0,47,0,0,0,0,0,0,0,0,0,0,0,2017,
Allysha Chapman,BOS,19,19,1642,0,0,4,2,14,0,0,0,0,5,1,2017,
Morgan Brian,HOU,12,10,747,0,0,1,1,7,1,1,0,0,0,0,2017,
Maddy Evans,ORL,12,4,484,0,0,3,1,9,0,0,1,0,2,0,2017,
Jamia Fields,ORL,16,7,596,0,1,7,2,10,3,0,0,0,0,0,2017,
Monica,ORL,19,16,1284,0,0,3,1,7,0,1,0,0,0,0,2017,
Kylie Strom,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,
Ali Krieger,ORL,24,24,2160,0,2,3,0,13,0,0,0,0,2,0,2017,Defender
Tiffany Weimer,BOS,17,11,804,0,1,4,2,5,1,10,0,0,1,0,2017,
Kelly Conheeney,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,
Christen Westphal,BOS,13,13,1129,0,1,0,0,7,0,0,0,0,1,0,2017,Defender
Claire Falknor,HOU,7,3,275,0,0,1,1,1,0,1,0,0,0,0,2017,
Caity Heap,HOU,13,2,337,0,0,4,2,6,0,4,0,0,1,0,2017,
Melissa Henderson,HOU,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2017,
Celeste Boureille,POR,17,13,1181,0,0,0,0,12,0,0,0,0,1,0,2017,
Dagný Brynjarsdóttir,POR,11,6,512,0,1,5,2,19,1,0,0,0,3,0,2017,
Meghan Cox,POR,10,2,263,0,0,0,0,4,0,0,0,0,2,0,2017,Midfielder
Tobin Heath,POR,2,0,75,0,0,2,1,9,1,6,0,0,0,0,2017,Attacker
Ashley Herndon,POR,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2017,
Emilie Haavi,BOS,7,5,458,0,0,3,2,1,1,4,0,0,1,0,2017,
Kelli Hubly,POR,2,0,13,0,0,0,0,0,0,0,0,0,0,0,2017,Defender
Kendall Johnson,POR,4,0,10,0,0,0,0,0,0,0,0,0,0,0,2017,
Savannah Jordan,POR,2,0,9,0,0,2,2,0,0,0,0,0,0,0,2017,
Meghan Klingenberg,POR,23,22,1935,0,6,6,1,9,5,60,0,0,1,0,2017,Defender
Taylor Comeau,CHI,20,10,1096,0,1,7,3,13,1,0,0,0,0,0,2017,
Emily Menges,POR,23,23,2063,0,0,0,0,7,0,0,0,0,0,0,2017,Defender
Meg Morris,POR,1,0,11,0,0,0,0,0,0,0,0,0,0,0,2017,Attacker
