Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season,Position
Shannon Horgan,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Midfielder
Kaleigh Kurtz,NC,4,4,360,0,0,1,0,0,0,0,0,0,0,0,2019,Defender
Merritt Mathias,NC,8,8,720,0,1,7,2,2,0,16,0,0,0,0,2019,Defender
Samantha Mewis,NC,3,3,270,0,0,5,2,3,1,2,0,0,0,0,2019,Midfielder
Heather O'Reilly,NC,3,0,33,0,0,0,0,2,0,0,0,0,0,0,2019,Midfielder
Denise O'Sullivan,NC,8,8,691,0,0,2,1,11,1,17,0,0,2,0,2019,Midfielder
Tierna Davidson,CHI,3,3,270,0,0,0,0,2,0,1,0,0,0,0,2019,Defender
Cari Roccaro,NC,4,4,310,0,0,1,0,0,0,0,0,0,0,0,2019,Midfielder
Meredith Speck,NC,1,0,22,0,0,0,0,0,0,0,0,0,0,0,2019,Midfielder
Kathleen Naughton,CHI,8,8,696,0,0,2,1,4,0,0,0,0,0,0,2019,Defender
Kayla Sharples,CHI,1,0,10,0,0,1,0,1,0,0,0,0,1,0,2019,Defender
Ryan Williams,NC,2,1,97,0,0,0,0,1,0,0,0,0,0,0,2019,Midfielder
McCall Zerboni,NC,8,8,686,0,0,4,2,14,0,0,0,0,2,0,2019,Midfielder
Hannah Davison,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Joanna Boyles,ORL,5,3,307,0,0,3,0,4,0,2,0,0,0,0,2019,Midfielder
Bridget Callahan,ORL,3,3,246,0,0,1,0,2,0,6,0,0,1,0,2019,Midfielder
Kristen Edmonds,ORL,3,0,35,0,0,1,0,1,1,0,0,0,0,0,2019,Midfielder
Abby Elinsky,ORL,4,2,197,0,0,4,1,6,0,0,0,0,0,0,2019,Midfielder
Danica Evans,ORL,2,0,34,0,0,1,0,0,0,0,0,0,0,0,2019,Attacker
Caitlin Farrell,ORL,2,0,14,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Erin Greening,ORL,5,4,376,0,0,2,0,4,0,0,0,0,0,0,2019,Midfielder
Rachel Hill,ORL,8,8,634,0,0,7,2,10,8,0,0,0,1,0,2019,Attacker
Alika Keene,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Midfielder
Nikki Stanton,CHI,6,5,445,0,0,2,1,12,0,0,0,0,3,0,2019,Midfielder
Hana Kerner,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Ali Krieger,ORL,4,4,360,0,0,1,0,3,1,0,0,0,0,0,2019,Defender
Camila,ORL,6,1,189,0,0,2,0,5,0,2,0,0,1,0,2019,Defender
Alex Morgan,ORL,4,4,360,0,0,6,1,5,5,0,0,0,1,0,2019,Attacker
Carson Pickett,ORL,8,8,720,0,1,5,2,7,0,18,0,0,2,0,2019,Defender
Taylor Porter,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Midfielder
Jenna Szczesny,CHI,2,0,16,0,0,1,1,0,0,0,0,0,0,0,2019,Attacker
Morgan Reid,ORL,3,3,270,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Morgan Reid,ORL,3,3,270,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Chioma Ubogagu,ORL,8,7,547,0,0,4,0,7,0,0,0,0,2,0,2019,Attacker
Marta,ORL,6,6,540,0,0,14,4,6,0,1,0,0,2,0,2019,Attacker
Marisa Viggiano,ORL,4,2,165,0,0,0,0,3,0,6,0,0,0,0,2019,Midfielder
Dani Weatherholt,ORL,8,8,698,0,0,1,1,14,0,1,0,0,1,0,2019,Midfielder
Shelina Zadorsky,ORL,5,5,450,0,0,4,0,1,0,0,0,0,0,0,2019,Defender
Emily van Egmond,ORL,5,5,428,0,0,6,0,5,0,9,0,0,1,0,2019,Midfielder
Elizabeth Ball,POR,2,2,180,0,0,0,0,2,0,0,0,0,1,0,2019,Defender
Celeste Boureille,POR,6,5,442,0,0,1,0,5,0,0,0,0,1,0,2019,Midfielder
Maria Guadalupe Sanchez Morales,CHI,4,0,85,0,0,0,0,0,0,7,0,0,0,0,2019,Midfielder
Katy Byrne,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Midfielder
Ellie Carpenter,POR,5,5,450,0,0,1,0,4,1,0,0,0,0,0,2019,Defender
Vanessa DiBernardo,CHI,8,5,469,0,1,10,4,4,0,12,0,0,0,0,2019,Midfielder
Simone Charley,POR,2,2,157,0,2,4,1,2,4,0,0,0,0,0,2019,Attacker
Arin Wright,CHI,7,7,620,0,0,7,2,4,0,0,0,0,0,0,2019,Defender
Lindsay Agnew,HOU,2,2,134,0,0,1,1,3,1,0,0,0,1,0,2019,Defender
Elizabeth Brandon,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Midfielder
Morgan Brian,CHI,3,1,105,0,0,1,0,2,0,0,0,0,0,0,2019,Midfielder
Amber Brooks,HOU,7,7,630,0,0,8,2,7,2,0,0,0,0,0,2019,Defender
Lindsey Horan,POR,2,2,180,0,1,4,3,6,1,0,0,0,0,0,2019,Midfielder
Kelli Hubly,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Meghan Klingenberg,POR,7,7,607,0,3,3,1,6,0,8,0,0,0,0,2019,Defender
Tyler Lussi,POR,5,1,121,0,0,2,1,4,0,0,0,0,0,0,2019,Attacker
Emily Menges,POR,4,4,360,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Emily Ogle,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Midfielder
Madison Pogarch,POR,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Ariana Catrina Calderón Valdez,HOU,1,0,16,0,0,0,0,1,0,0,0,0,0,0,2019,Attacker
Hayley Raso,POR,1,0,45,0,0,1,1,1,0,0,0,0,0,0,2019,Attacker
Katherine Reynolds,POR,7,7,630,0,0,0,0,1,0,0,0,0,0,0,2019,Defender
Angela Salem,POR,3,2,153,0,0,0,0,2,0,0,0,0,0,0,2019,Midfielder
Gabby Seiler,POR,6,4,358,0,0,1,0,3,0,0,0,0,0,0,2019,Defender
Allysha Chapman,HOU,4,4,360,0,0,0,0,4,0,0,0,0,0,0,2019,Defender
Morgan Andrews,SEA,5,4,361,0,0,3,1,8,0,3,0,0,0,0,2019,Midfielder
Taylor Comeau,HOU,1,1,90,0,0,0,0,1,0,0,0,0,0,0,2019,Defender
Lauren Barnes,SEA,7,7,630,0,0,0,0,2,0,17,0,0,1,0,2019,Defender
Steph Catley,SEA,1,1,45,0,0,1,0,0,0,0,0,0,0,0,2019,Defender
Stephanie Cox,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Kiersten Dallstream,SEA,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2019,Attacker
Jessica Fishlock,SEA,2,2,180,0,0,5,4,1,2,3,0,0,0,0,2019,Midfielder
Jessica Fishlock,SEA,2,2,180,0,0,5,4,1,2,3,0,0,0,0,2019,Midfielder
Jamia Fields,HOU,3,0,41,0,0,0,0,0,0,0,0,0,0,0,2019,Attacker
Celia Jiménez Delgado,SEA,4,4,352,0,0,2,0,4,1,0,0,0,0,0,2019,Defender
Jaycie Johnson,SEA,1,0,21,0,0,0,0,0,1,0,0,0,0,0,2019,Attacker
Elise Kellond-Knight,SEA,3,0,103,0,0,1,1,1,0,5,0,0,0,0,2019,Midfielder
Maegan Kelly,SEA,3,0,15,0,0,0,0,0,1,0,0,0,0,0,2019,Attacker
Allie Long,SEA,3,3,270,0,1,3,2,3,2,0,0,0,0,0,2019,Midfielder
Kristen McNabb,SEA,7,6,539,0,1,2,1,3,1,0,0,0,2,0,2019,Defender
Theresa Nielsen,SEA,7,5,479,0,0,4,1,2,0,10,0,0,1,0,2019,Defender
Ifeoma Onumonu,SEA,3,0,75,0,0,1,1,2,2,0,0,0,1,0,2019,Attacker
Megan Oyster,SEA,7,7,559,0,0,0,0,4,0,0,0,0,0,0,2019,Defender
Morgan Proffitt,SEA,1,0,51,0,0,0,0,1,0,0,0,0,0,0,2019,Midfielder
Jasmyne Spencer,SEA,1,1,26,0,0,0,0,0,0,0,0,0,0,0,2019,Attacker
Addison Steiner,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Attacker
Haley Hanson,HOU,7,4,421,0,0,1,0,4,1,0,0,0,1,0,2019,Midfielder
Rumi Utsugi,SEA,3,3,251,0,0,5,2,4,0,0,0,0,0,0,2019,Midfielder
Christen Westphal,SEA,2,1,135,0,0,1,0,0,0,0,0,0,0,0,2019,Defender
Beverly Yanez,SEA,5,5,428,0,0,8,1,10,0,0,0,0,0,0,2019,Midfielder
Caprice Dydasco,NJ,6,6,540,0,0,0,0,5,0,0,0,0,0,0,2019,Defender
Caprice Dydasco,NJ,6,6,540,0,0,0,0,5,0,0,0,0,0,0,2019,Defender
Sabrina Flores,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Jennifer Hoy,NJ,5,2,178,0,0,0,0,1,0,0,0,0,0,0,2019,Attacker
Julie James,NJ,5,5,402,0,0,5,0,7,0,0,0,0,1,0,2019,Midfielder
Estelle Johnson,NJ,4,4,360,0,0,0,0,3,0,0,0,0,0,0,2019,Defender
Estelle Johnson,NJ,4,4,360,0,0,0,0,3,0,0,0,0,0,0,2019,Defender
Nahomi Kawasumi,NJ,7,7,587,0,0,3,1,1,1,0,0,0,0,0,2019,Attacker
Nahomi Kawasumi,NJ,7,7,587,0,0,3,1,1,1,0,0,0,0,0,2019,Attacker
Sarah Killion,NJ,7,7,630,0,1,3,0,1,2,11,0,0,0,0,2019,Midfielder
Gina Lewandowski,NJ,1,1,90,0,0,2,1,2,0,0,0,0,0,0,2019,Defender
Julie Ertz,CHI,3,3,270,0,1,4,0,2,0,1,0,0,1,0,2019,Midfielder
Savannah McCaskill,NJ,5,3,308,0,1,5,3,7,3,4,0,0,1,0,2019,Attacker
McKenzie Meehan,NJ,3,0,14,0,0,0,0,1,0,0,0,0,0,0,2019,Attacker
Paige Monaghan,NJ,7,5,499,0,0,3,1,7,2,0,0,0,1,0,2019,Attacker
Francisca Gabriela Morais da Rocha,NJ,2,0,26,0,0,1,0,0,0,0,0,0,0,0,2019,Midfielder
Amandine Pierre-Louis,NJ,3,1,73,0,1,1,0,2,0,0,0,0,0,0,2019,Defender
Dominique Richardson,NJ,5,5,449,0,0,2,0,2,0,8,0,0,0,0,2019,Defender
Jazmin Jackmon,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Erica Skroski,NJ,7,7,630,0,0,0,0,2,0,0,0,0,0,0,2019,Defender
Kenie Wright,NJ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2019,Midfielder
Veronica Boquete Giadans,UTA,7,7,579,0,2,2,0,9,0,19,0,0,0,0,2019,Midfielder
Katie Bowen,UTA,6,6,540,0,0,3,1,4,0,0,0,0,1,0,2019,Midfielder
Rachel Corsie,UTA,5,5,450,0,0,2,1,3,1,0,0,0,1,0,2019,Defender
Meghan Cox,UTA,2,0,8,0,0,0,0,1,0,0,0,0,0,0,2019,Midfielder
Samantha Johnson,UTA,5,5,405,0,0,1,0,4,0,0,0,0,1,0,2019,Defender
Gunnhildur Yrsa Jónsdóttir,UTA,7,7,630,0,1,5,1,9,0,0,0,0,0,0,2019,Midfielder
Alexandra Kimball,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Attacker
Cecelia Kizer,HOU,2,1,81,0,0,0,0,0,0,0,0,0,0,0,2019,Attacker
Mandy Laddish,UTA,6,4,323,0,0,1,1,1,0,0,0,0,0,0,2019,Midfielder
Michelle Maemone,UTA,5,5,368,0,1,1,0,2,0,0,0,0,1,0,2019,Defender
Sydney Miramontez,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Rebecca Moros,UTA,3,3,253,0,0,0,0,3,0,0,0,0,0,0,2019,Midfielder
Alexa Newfield,UTA,1,0,18,0,0,0,0,0,0,0,0,0,0,0,2019,Midfielder
Kelley O'Hara,UTA,2,0,62,0,0,1,0,0,0,0,0,0,0,0,2019,Defender
Veronica Latsko,HOU,4,1,117,0,0,5,1,3,0,0,0,0,0,0,2019,Attacker
Kayla McCoy,HOU,1,1,54,0,0,0,0,1,1,0,0,0,0,0,2019,Attacker
Becky Sauerbrunn,UTA,2,2,180,0,0,0,0,1,0,0,0,0,0,0,2019,Defender
Desiree Scott,UTA,3,3,270,0,0,0,0,1,0,0,0,0,0,0,2019,Midfielder
Katie Stengel,UTA,7,5,471,0,0,12,7,5,3,0,0,0,0,0,2019,Attacker
Raisa Strom-Okimoto,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Attacker
Erika Tymrak,UTA,5,0,132,0,0,1,0,0,0,0,0,0,0,0,2019,Midfielder
Gaby Vincent,UTA,3,2,225,0,0,0,0,1,0,4,0,0,0,0,2019,Defender
Mallory Weber,UTA,4,0,55,0,0,0,0,1,0,0,0,0,0,0,2019,Attacker
Kristie Mewis,HOU,5,3,311,0,0,3,1,3,0,3,0,0,0,0,2019,Defender
McKenzie Berryhill,WAS,1,0,16,0,0,0,0,1,0,0,0,0,0,0,2019,Defender
Satara Murray,HOU,4,4,347,0,0,0,0,4,0,0,0,0,1,0,2019,Defender
Zoey Goralski,CHI,1,0,15,0,0,1,0,1,0,0,0,0,0,0,2019,Defender
Meggie Dougherty Howard,WAS,7,6,530,0,0,8,4,18,0,0,0,0,3,0,2019,Midfielder
Cali Farquharson,WAS,6,2,201,0,1,1,0,2,1,0,0,0,0,0,2019,Attacker
Bayley Feist,WAS,2,0,16,0,0,0,0,1,0,0,0,0,0,0,2019,Midfielder
Amy Harrison,WAS,4,4,262,0,2,1,1,4,0,0,0,0,0,0,2019,Midfielder
Sarah Gorden,CHI,7,7,614,0,0,0,0,2,0,0,0,0,0,0,2019,Defender
Carlin Hudson,WAS,2,0,19,0,0,0,0,0,0,0,0,0,0,0,2019,Midfielder
Tori Huster,WAS,6,6,495,0,1,1,0,5,0,0,0,0,0,0,2019,Defender
Rose Lavelle,WAS,1,0,45,0,0,1,0,0,0,1,0,0,0,0,2019,Midfielder
Chloe Logarzo,WAS,3,2,180,0,0,1,0,4,0,0,0,0,1,0,2019,Midfielder
Clare Polkinghorne,HOU,6,6,540,0,0,2,2,2,0,0,0,0,0,0,2019,Defender
Tiffany McCarty,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Attacker
Tegan McGrady,WAS,4,4,329,0,0,0,0,3,0,2,0,0,0,0,2019,Defender
Paige Nielsen,WAS,7,7,630,0,0,2,1,4,0,0,0,0,1,0,2019,Attacker
Mallory Pugh,WAS,2,2,180,0,1,4,2,1,3,8,0,0,0,0,2019,Attacker
Arielle Ship,WAS,2,2,141,0,1,2,0,1,0,0,0,0,0,0,2019,Attacker
Andi Sullivan,WAS,7,7,630,0,0,6,2,2,0,0,0,0,0,0,2019,Midfielder
Crystal Elaine Thomas,WAS,1,0,16,0,0,0,0,1,1,0,0,0,0,0,2019,Attacker
