Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Position
Lauren Kaskie,CHI,6,3,202,1,0,3,1,1,1,2,0,0,0,0,
Gunnhildur Yrsa Jónsdóttir,UTA,24,24,2160,1,2,29,7,40,10,0,0,0,4,0,
Ellie Carpenter,POR,17,14,1299,1,0,7,5,8,0,0,0,0,0,0,
Kelley O'Hara,UTA,8,7,517,1,0,8,5,4,6,4,0,0,0,0,Defender
Haley Hanson,HOU,19,15,1464,1,1,10,5,9,1,0,0,0,1,0,Midfielder
Arielle Ship,WAS,2,0,41,1,0,2,2,0,0,0,0,0,0,0,Attacker
Kimberly Keever,HOU,11,9,728,1,0,5,2,11,2,2,0,0,1,0,Defender
Tyler Lussi,POR,15,3,370,1,1,15,7,8,5,0,0,0,1,0,Attacker
Erika Tymrak,UTA,14,5,480,1,1,13,5,1,2,4,0,0,1,0,Midfielder
Estefanía Banini,WAS,12,11,891,1,0,16,9,5,0,5,0,0,0,0,
Kathleen Naughton,CHI,23,23,2059,1,0,3,1,14,2,0,0,0,2,0,
Joanna Lohman,WAS,13,4,429,1,0,8,3,5,0,0,0,0,1,0,Midfielder
Katherine Reynolds,POR,17,16,1419,1,0,2,1,12,0,0,0,0,0,0,Defender
Casey Short,CHI,9,8,654,1,0,5,3,6,1,0,0,0,0,0,Defender
Emily Menges,POR,15,15,1305,0,0,0,0,2,0,0,0,0,0,0,Defender
Danica Evans,ORL,5,0,49,0,0,0,0,1,0,0,0,0,0,0,Attacker
Nádia Gomes,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Monica,ORL,17,15,1400,0,0,3,1,13,1,0,0,0,2,0,Defender
Savannah Jordan,HOU,10,5,414,0,1,4,1,3,4,0,0,0,0,0,Attacker
Ali Krieger,ORL,19,19,1675,0,2,7,1,12,0,3,0,0,1,0,Defender
Brooke Elby,CHI,11,9,846,0,1,6,3,10,1,5,0,0,1,0,Defender
Camila,ORL,9,3,318,0,0,9,2,12,0,9,0,0,3,0,Defender
Julie Ertz,CHI,14,13,1126,0,0,11,3,16,0,0,0,0,1,0,Midfielder
Arin Wright,CHI,24,23,2040,0,4,17,3,11,0,0,0,0,3,0,
Lotta Ökvist,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carson Pickett,ORL,19,16,1381,0,0,5,1,15,0,1,0,0,2,0,
Nikki Stanton,CHI,20,16,1449,0,0,1,0,42,0,0,0,0,4,0,
Alli Murphy,HOU,1,0,13,0,0,0,0,0,0,0,0,0,0,0,
Clare Polkinghorne,HOU,9,9,782,0,0,5,2,6,0,0,0,0,0,0,
Shelina Zadorsky,ORL,23,23,2070,0,2,1,1,13,0,0,0,0,3,0,Defender
Emily van Egmond,ORL,17,12,1098,0,1,11,4,20,6,15,0,0,2,0,
Elizabeth Ball,POR,6,0,101,0,0,0,0,1,0,0,0,0,0,0,Defender
Celeste Boureille,POR,21,18,1586,0,0,9,3,24,0,2,0,0,1,0,
Zoey Goralski,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
Andressinha,POR,18,9,848,0,0,13,3,12,2,16,0,0,1,0,Midfielder
Caitlin Foord,POR,6,2,276,0,0,4,3,14,7,0,0,0,1,0,
Meleana Shim,HOU,8,7,597,0,0,5,3,5,0,4,0,0,0,0,Midfielder
Sarah Gorden,CHI,17,12,1246,0,0,1,0,5,0,0,0,0,0,0,Defender
Kelli Hubly,POR,11,9,818,0,0,0,0,8,0,0,0,0,1,0,Defender
Meghan Klingenberg,POR,20,20,1751,0,2,4,0,13,1,22,0,0,2,0,Defender
Allison Wetherington,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joanna Boyles,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Meg Morris,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Attacker
Ifeoma Onumonu,POR,8,3,311,0,0,6,3,6,8,0,0,0,0,0,Attacker
Margaret Purce,POR,19,15,1297,0,0,8,2,10,3,0,0,0,1,0,Midfielder
Janine van Wyk,HOU,20,20,1719,0,0,0,0,13,0,0,0,0,1,0,Defender
Allysha Chapman,NC,16,15,1349,0,1,2,0,15,0,0,0,0,2,0,Defender
Angela Salem,POR,5,1,163,0,0,0,0,3,0,0,0,0,1,0,Midfielder
Erin Yenney,CHI,3,0,27,0,0,3,1,1,0,0,0,0,0,0,Midfielder
Mallory Weber,POR,14,9,714,0,0,5,1,3,5,0,0,0,0,0,Attacker
Sandra Yu,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Elizabeth Addo,SEA,12,8,692,0,1,7,2,22,3,0,0,0,2,0,
Morgan Andrews,SEA,15,7,765,0,0,6,1,15,0,4,0,0,1,0,Midfielder
Yael Averbuch,SEA,1,1,90,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Lauren Barnes,SEA,19,18,1679,0,0,4,1,12,0,5,0,0,2,0,
Madeline Bauer,SEA,1,0,16,0,0,0,0,0,0,0,0,0,0,0,
Steph Catley,SEA,16,16,1435,0,3,1,1,13,2,16,0,0,2,0,
Kiersten Dallstream,SEA,3,2,163,0,0,2,2,4,0,0,0,0,1,0,Attacker
Abby Dahlkemper,NC,19,19,1710,0,0,1,0,7,0,77,0,0,1,0,Defender
Jaycie Johnson,SEA,3,0,5,0,0,0,0,0,0,0,0,0,0,0,Attacker
Nahomi Kawasumi,SEA,14,11,875,0,3,7,3,1,1,16,0,0,0,0,Attacker
Alyssa Kleiner,SEA,10,4,414,0,0,2,1,6,2,0,0,0,1,0,Defender
Kristen McNabb,SEA,20,12,1159,0,0,1,0,12,0,0,0,0,2,0,Defender
Lindsay Agnew,HOU,12,6,609,0,1,1,0,14,0,0,0,0,0,0,Defender
Elizabeth Eddy,NC,2,1,94,0,0,0,0,1,0,0,0,0,0,0,Midfielder
Summer Green,CHI,8,4,319,0,0,0,0,6,1,0,0,0,0,0,Midfielder
Jaelene Hinkle,NC,20,20,1779,0,4,7,1,13,0,32,0,0,1,0,Defender
Carlin Hudson,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Christen Westphal,SEA,12,9,694,0,1,1,0,8,1,0,0,0,0,0,Defender
Darian Jenkins,NC,13,0,178,0,0,3,1,5,4,0,0,0,0,0,Attacker
Michaela Abam,NJ,4,0,50,0,0,1,0,1,2,0,0,0,0,0,
Janine Beckie,NJ,15,11,1046,0,0,14,6,4,3,16,0,0,1,0,
Cassidy Benintente,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eliza Bona,NJ,2,0,25,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Gabriella Cuevas,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
Yuri Kawamura,NC,2,1,98,0,0,0,0,0,0,0,0,0,0,0,Defender
Nickolette Driesse,NJ,1,0,7,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Mandy Freeman,NJ,21,21,1826,0,0,0,0,5,0,0,0,0,2,0,Defender
Amanda Frisbie,NJ,17,15,1285,0,0,3,2,4,0,6,0,0,0,0,Defender
