Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season,Position,Goals per Game,Assists per Game,Shots per Game,Prop SoG,Shots per Goal
Natasha Dowie,BOS,7.0,7.0,605.0,3.0,0.0,19.0,10.0,12.0,11.0,0.0,0.0,0.0,1.0,0.0,2016.0,,0.42857142857142855,0.0,2.7142857142857144,0.5263157894736842,0.3
Christine Nairn,WAS,20.0,18.0,1618.0,3.0,3.0,29.0,11.0,8.0,1.0,87.0,2.0,1.0,1.0,0.0,2016.0,,0.15,0.15,1.45,0.3793103448275862,0.2727272727272727
Cheyna Matthews,WAS,17.0,8.0,780.0,3.0,0.0,16.0,9.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,2016.0,,0.17647058823529413,0.0,0.9411764705882353,0.5625,0.3333333333333333
Janine Beckie,HOU,14.0,11.0,917.0,3.0,2.0,16.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.21428571428571427,0.14285714285714285,1.1428571428571428,0.4375,0.42857142857142855
Sarah Killion,NJ,18.0,18.0,1606.0,3.0,1.0,10.0,7.0,15.0,1.0,22.0,4.0,3.0,0.0,0.0,2016.0,Midfielder,0.16666666666666666,0.05555555555555555,0.5555555555555556,0.7,0.42857142857142855
Makenzy Doniak,WNY,20.0,15.0,1141.0,3.0,4.0,14.0,10.0,8.0,5.0,4.0,0.0,0.0,1.0,0.0,2016.0,Midfielder,0.15,0.2,0.7,0.7142857142857143,0.3
Yael Averbuch,KC,20.0,20.0,1788.0,3.0,0.0,17.0,9.0,18.0,0.0,4.0,1.0,1.0,1.0,0.0,2016.0,Midfielder,0.15,0.0,0.85,0.5294117647058824,0.3333333333333333
Maya Hayes,NJ,16.0,8.0,749.0,3.0,0.0,10.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,2016.0,,0.1875,0.0,0.625,0.6,0.5
Leah Galton,NJ,14.0,10.0,1022.0,3.0,4.0,16.0,9.0,10.0,11.0,11.0,0.0,0.0,1.0,0.0,2016.0,,0.21428571428571427,0.2857142857142857,1.1428571428571428,0.5625,0.3333333333333333
Beverly Yanez,SEA,20.0,18.0,1543.0,3.0,3.0,22.0,14.0,10.0,11.0,1.0,0.0,0.0,0.0,0.0,2016.0,Midfielder,0.15,0.15,1.1,0.6363636363636364,0.21428571428571427
Stephanie McCaffrey,CHI,18.0,15.0,1276.0,2.0,0.0,19.0,10.0,12.0,14.0,3.0,0.0,0.0,0.0,0.0,2016.0,Attacker,0.1111111111111111,0.0,1.0555555555555556,0.5263157894736842,0.2
Abby Dahlkemper,WNY,20.0,20.0,1800.0,2.0,1.0,10.0,5.0,15.0,1.0,58.0,2.0,2.0,2.0,0.0,2016.0,Defender,0.1,0.05,0.5,0.5,0.4
Taylor Smith,WNY,18.0,5.0,725.0,2.0,0.0,11.0,4.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,2016.0,Defender,0.1111111111111111,0.0,0.6111111111111112,0.36363636363636365,0.5
Julie King,BOS,18.0,17.0,1524.0,2.0,1.0,9.0,5.0,19.0,2.0,1.0,0.0,0.0,5.0,0.0,2016.0,Defender,0.1111111111111111,0.05555555555555555,0.5,0.5555555555555556,0.4
Crystal Dunn,WAS,13.0,12.0,1140.0,2.0,5.0,30.0,11.0,14.0,12.0,1.0,0.0,0.0,0.0,0.0,2016.0,Defender,0.15384615384615385,0.38461538461538464,2.3076923076923075,0.36666666666666664,0.18181818181818182
Tiffany McCarty,KC,16.0,10.0,916.0,2.0,4.0,14.0,4.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.125,0.25,0.875,0.2857142857142857,0.5
Francisca Ordega,WAS,13.0,7.0,630.0,2.0,1.0,9.0,6.0,15.0,8.0,0.0,0.0,0.0,1.0,0.0,2016.0,,0.15384615384615385,0.07692307692307693,0.6923076923076923,0.6666666666666666,0.3333333333333333
Abby Erceg,WNY,17.0,16.0,1474.0,2.0,1.0,11.0,3.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,2016.0,Defender,0.11764705882352941,0.058823529411764705,0.6470588235294118,0.2727272727272727,0.6666666666666666
Frances Silva,KC,19.0,10.0,990.0,2.0,0.0,13.0,4.0,16.0,3.0,1.0,0.0,0.0,1.0,0.0,2016.0,,0.10526315789473684,0.0,0.6842105263157895,0.3076923076923077,0.5
Casey Short,CHI,20.0,20.0,1781.0,2.0,0.0,14.0,7.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2016.0,Defender,0.1,0.0,0.7,0.5,0.2857142857142857
Jennifer Hoy,CHI,15.0,9.0,673.0,2.0,0.0,5.0,3.0,7.0,11.0,0.0,0.0,0.0,1.0,0.0,2016.0,,0.13333333333333333,0.0,0.3333333333333333,0.6,0.6666666666666666
